Date,Work Distance,Resting Heart Rate,Work Time (Seconds) 
2018-06-18,14279,49,3600
2018-06-19,6399,74,1446.8
2018-06-20,14365,72,3600
2018-06-21,9696,56,2527.5
2018-06-22,6072,58,1474.3
2018-06-25,18403,47,4800
2018-06-26,18319,45,4740
2018-06-27,23003,48,6000
2018-06-29,19168,48,4906.9
2018-06-30,9197,37,2400
2018-07-02,17622,52,4800
2018-07-04,18560,52,4800
2018-07-05,4474,52,1200
2018-07-06,2371,30,575.8
2018-07-07,2000,59,423.6
2018-07-08,30735,56,7805.1
2018-07-09,18567,55,4800
2018-07-10,9423,55,2400
2018-07-11,18213,54,4800
2018-07-12,22931,59,6000
2018-07-13,18452,61,4800
2018-07-14,18343,52,4800
2018-07-15,9354,46,2400
2018-07-16,17401,61,4711.2
2018-07-17,9640,69,2531.3
2018-07-18,17445,65,4800
2018-07-19,4000,54,819.1
2018-07-21,10500,56,2516.6
2018-07-22,19143,52,5010
2018-07-23,18898,52,4800
2018-07-24,10748,54,2607.9
2018-07-25,21840,56,6000
2018-07-26,9567,52,2400
2018-07-27,18913,53,4800
2018-07-28,13300,52,3600
2018-07-30,10000,54,2557
2018-08-01,18567,64,4800
2018-08-02,21027,39,5459.5
2018-08-03,1513,51,300
2018-08-04,18328,53,4800
